product_sk,product_code,category_id,valid_from,valid_to
1001,P100005,C03,2019-04-01,9999-12-31
1002,P100007,C08,2019-04-01,9999-12-31
1003,P100019,C01,2019-04-01,9999-12-31
1004,P100026,C05,2019-04-01,9999-12-31
1005,P100033,C05,2019-04-01,9999-12-31
1006,P100035,C09,2019-04-01,9999-12-31
1007,P100044,C09,2019-04-01,9999-12-31
1008,P100049,C01,2019-04-01,9999-12-31
1009,P100057,C10,2019-04-01,9999-12-31
1010,P100066,C03,2019-04-01,9999-12-31
1011,P100074,C06,2019-04-01,9999-12-31
1012,P100077,C06,2019-04-01,9999-12-31
1013,P100086,C02,2019-04-01,9999-12-31
1014,P100095,C11,2019-04-01,9999-12-31
1015,P100100,C10,2019-04-01,9999-12-31
1016,P100106,C03,2019-04-01,9999-12-31
1017,P100112,C01,2019-04-01,9999-12-31
1018,P100121,C11,2019-04-01,9999-12-31
1019,P100131,C09,2019-04-01,9999-12-31
1020,P100135,C06,2019-04-01,9999-12-31
1021,P100140,C13,2019-04-01,9999-12-31
1022,P100150,C06,2019-04-01,9999-12-31
1023,P100156,C04,2019-04-01,9999-12-31
1024,P100164,C07,2019-04-01,9999-12-31
1025,P100172,C11,2019-04-01,9999-12-31
1026,P100178,C08,2019-04-01,9999-12-31
1027,P100183,C09,2019-04-01,9999-12-31
1028,P100194,C13,2019-04-01,9999-12-31
1029,P100198,C05,2019-04-01,9999-12-31
1030,P100203,C06,2019-04-01,9999-12-31
1031,P100210,C09,2019-04-01,9999-12-31
1032,P100221,C09,2019-04-01,9999-12-31
1033,P100224,C02,2019-04-01,9999-12-31
1034,P100233,C11,2019-04-01,9999-12-31
1035,P100239,C09,2019-04-01,9999-12-31
1036,P100250,C02,2019-04-01,9999-12-31
1037,P100255,C05,2019-04-01,9999-12-31
1038,P100260,C04,2019-04-01,9999-12-31
1039,P100268,C11,2019-04-01,9999-12-31
1040,P100276,C05,2019-04-01,9999-12-31
1041,P100281,C02,2019-04-01,9999-12-31
1042,P100287,C09,2019-04-01,9999-12-31
1043,P100298,C02,2019-04-01,9999-12-31
1044,P100305,C04,2019-04-01,9999-12-31
1045,P100308,C09,2019-04-01,9999-12-31
1046,P100319,C11,2019-04-01,9999-12-31
1047,P100326,C01,2019-04-01,9999-12-31
1048,P100330,C02,2019-04-01,9999-12-31
1049,P100339,C13,2019-04-01,9999-12-31
1050,P100348,C02,2019-04-01,9999-12-31
1051,P100354,C09,2019-04-01,9999-12-31
1052,P100362,C04,2019-04-01,9999-12-31
1053,P100367,C07,2019-04-01,9999-12-31
1054,P100375,C06,2019-04-01,9999-12-31
1055,P100380,C14,2019-04-01,9999-12-31
1056,P100387,C11,2019-04-01,9999-12-31
1057,P100394,C10,2019-04-01,9999-12-31
1058,P100403,C14,2019-04-01,9999-12-31
1059,P100406,C02,2019-04-01,9999-12-31
1060,P100418,C12,2019-04-01,9999-12-31
1061,P100421,C12,2019-04-01,9999-12-31
1062,P100428,C12,2019-04-01,9999-12-31
1063,P100438,C06,2019-04-01,9999-12-31
1064,P100441,C10,2019-04-01,9999-12-31
1065,P100453,C14,2019-04-01,9999-12-31
1066,P100456,C05,2019-04-01,9999-12-31
1067,P100463,C14,2019-04-01,9999-12-31
1068,P100469,C06,2019-04-01,9999-12-31
1069,P100479,C09,2019-04-01,9999-12-31
1070,P100483,C04,2019-04-01,9999-12-31
1071,P100494,C08,2019-04-01,9999-12-31
1072,P100499,C14,2019-04-01,9999-12-31
1073,P100509,C05,2019-04-01,9999-12-31
1074,P100511,C10,2019-04-01,9999-12-31
1075,P100519,C09,2019-04-01,9999-12-31
1076,P100528,C04,2019-04-01,9999-12-31
1077,P100536,C03,2019-04-01,9999-12-31
1078,P100543,C12,2019-04-01,9999-12-31
1079,P100549,C10,2019-04-01,9999-12-31
1080,P100555,C03,2019-04-01,9999-12-31
1081,P100560,C10,2019-04-01,9999-12-31
1082,P100571,C13,2019-04-01,9999-12-31
1083,P100577,C07,2019-04-01,9999-12-31
1084,P100582,C08,2019-04-01,9999-12-31
1085,P100593,C11,2019-04-01,9999-12-31
1086,P100595,C14,2019-04-01,9999-12-31
